State1,State2,State2Abbr,State1Abbr,dyadid,S1region,S2region,Border,Distance,State1_Lat,State1_Long,State2_Lat,State2_Long,ACS_Migration,PopDif,State1_Pop,State2_Pop,IncomingFlights,IRS_migration,Income,IRS_migration_2010,Income_2010,Imports,GSPDif,S1GSP,S2GSP,DemDif,S1AvgDem,S2AvgDem,S1SenDemProp,S1HSDemProp,S2SenDemProp,S2HSDemProp,IdeologyDif,PIDDif,S1Ideology,S1PID,S2Ideology,S2PID,policy_diffusion_tie,policy_diffusion_2015,LibDif,ELibDif,SLibDif,S1EconomicLiberalism,S1SocialLiberalism,S2EconomicLiberalism,S2SocialLiberalism,MassSocLibDif,MassEconLibDif,PolSocLibDif,PolEconLibDif,State1PolSocLib,State1PolEconLib,State1MassSocLib,State1MassEconLib,State2PolSocLib,State2PolEconLib,State2MassSocLib,State2MassEconLib,RaceDif,LatinxDif,WhiteDif,BlackDif,AsianDif,NativeDif,S1Latinx,S1White,S1Black,S1Asian,S1Native,S2Latinx,S2White,S2Black,S2Asian,S2Native,ReligDif,ChristianDif,EvangelicalDif,MainlineDif,BPDif,CatholicDif,MormonDif,JewishDif,MuslimDif,BuddhistDif,HinduDif,NonesDif,NPDif,ReligiosityDif,S1Christian,S1Evangelical,S1Mainline,S1BlackProt,S1Catholic,S1Mormon,S1Jewish,S1Muslim,S1Buddhist,S1Hindu,S1Nones,S1NothingParticular,S1HighlyReligious,S2Christian,S2Evangelical,S2Mainline,S2BlackProt,S2Catholic,S2Mormon,S2Jewish,S2Muslim,S2Buddhist,S2Hindu,S2Nones,S2NothingParticular,S2HighlyReligious
Alaska,Alabama,AL,AK,AK-AL,West,South,0,4594.366751,58.301935,-134.41974,32.361538,-86.279118,942,-4088469,730874,4819343,24,"6,846","$123,597 ",534,"$10,198 ",40088997.3,-155221,50404,205625,0.07857143,0.35,0.27142857,0.3,0.4,0.22857143,0.31428571,-0.31610168,-0.14324945,-0.34999999,-0.47368422,-0.03389831,-0.33043477,0,0,NA,NA,NA,NA,NA,-0.0384034,-0.27149132,0.38336566,0.063642495,1.486511079,1.189052693,-0.090514018,-0.181159381,0.453584972,-0.461111136,-1.577025097,-1.370212074,0.070219312,-0.524753631,50.6,2.9,-4.9,-23.8,5.3,13.7,0.07,0.606,0.029,0.066,0.142,0.041,0.655,0.267,0.013,0.005,74,-24,-27,-1,-13,9,4,0,0,1,0,19,11,-32,0.62,0.22,0.12,0.03,0.16,0.05,0,0,0.01,0,0.31,0.2,0.45,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Arizona,Alabama,AL,AZ,AZ-AL,West,South,0,2407.664753,33.448457,-112.073844,32.361538,-86.279118,1337,2116015,6935358,4819343,557,"15,264","$366,829 ",887,"$20,846 ",1049779852,100224,305849,205625,0.145238095,0.416666665,0.27142857,0.43333333,0.4,0.22857143,0.31428571,-0.06866579,0.10957587,-0.1025641,-0.2208589,-0.03389831,-0.33043477,11,0,34.186113,-1.230781,32.955332,-0.05071121,0.058062,-0.0384034,-0.27149132,1.380855902,0.073593929,0.949245142,0.148819839,-0.627779955,-1.221392235,1.451075214,-0.451159702,-1.577025097,-1.370212074,0.070219312,-0.524753631,66,27.3,-10.8,-22.6,1.9,3.4,0.314,0.547,0.041,0.032,0.039,0.041,0.655,0.267,0.013,0.005,77,-19,-23,-1,-15,14,4,2,1,1,1,15,10,-24,0.67,0.26,0.12,0.01,0.21,0.05,0.02,0.01,0.01,0.01,0.27,0.19,0.53,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Arkansas,Alabama,AL,AR,AR-AL,South,South,0,620.4272672,34.736009,-92.331122,32.361538,-86.279118,574,-1850948,2968395,4819343,124,"17,025","$357,273 ",967,"$16,131 ",1867059461,-84242,121383,205625,0.065714285,0.337142855,0.27142857,0.31428571,0.36,0.22857143,0.31428571,0.11840535,0.15900619,0.08450704,-0.17142858,-0.03389831,-0.33043477,20,1,2.949804,2.156186,0.793618,-0.01684154,-0.26355514,-0.0384034,-0.27149132,-0.088692843,0.149633063,-0.272807875,0.230999367,-1.849832972,-1.139212707,-0.018473531,-0.375120568,-1.577025097,-1.370212074,0.070219312,-0.524753631,22,3.3,6.8,-11.5,0.3,0.1,0.074,0.723,0.152,0.016,0.006,0.041,0.655,0.267,0.013,0.005,23,-7,-3,3,-8,1,0,0,2,0,0,6,4,-7,0.79,0.46,0.16,0.08,0.08,0.01,0,0.02,0,0,0.18,0.13,0.7,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
California,Alabama,AL,CA,CA-AL,West,South,0,3243.683732,38.555605,-121.468926,32.361538,-86.279118,3715,34266641,39085984,4819343,2283,"42,790","$978,299 ","2,465","$46,941 ",4931315452,2417106,2622731,205625,0.36607143,0.6375,0.27142857,0.625,0.65,0.22857143,0.31428571,0.21372287,0.27268829,0.17982456,-0.05774648,-0.03389831,-0.33043477,28,0,46.08812,3.115099,42.973021,-0.00725241,0.15823889,-0.0384034,-0.27149132,2.221865344,0.543658933,4.209596225,2.929044048,2.632571128,1.558831974,2.292084656,0.018905302,-1.577025097,-1.370212074,0.070219312,-0.524753631,97.9,35,-28.5,-21.2,13.1,-0.1,0.391,0.37,0.055,0.144,0.004,0.041,0.655,0.267,0.013,0.005,89,-23,-29,-3,-14,21,0,2,1,2,2,15,9,-28,0.63,0.2,0.1,0.02,0.28,0.01,0.02,0.01,0.02,0.02,0.27,0.18,0.49,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Colorado,Alabama,AL,CO,CO-AL,West,South,0,1868.073229,39.7391667,-104.984167,32.361538,-86.279118,3120,722939,5542282,4819343,974,"20,104","$474,356 ","1,205","$26,318 ",697531192.1,117019,322644,205625,0.232967035,0.504395605,0.27142857,0.48571429,0.52307692,0.22857143,0.31428571,0.15889831,0.34536014,0.125,0.01492537,-0.03389831,-0.33043477,0,0,44.423473,-8.009753,36.41372,-0.11850093,0.09264588,-0.0384034,-0.27149132,2.046372808,0.041284998,2.067615291,0.866416173,0.490590194,-0.503795901,2.11659212,-0.483468633,-1.577025097,-1.370212074,0.070219312,-0.524753631,44.8,17.4,2.7,-22.8,1.8,0.1,0.215,0.682,0.039,0.031,0.006,0.041,0.655,0.267,0.013,0.005,58,-22,-23,2,-14,9,1,1,0,1,0,7,11,-30,0.64,0.26,0.15,0.02,0.16,0.02,0.01,0,0.01,0,0.19,0.2,0.47,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Connecticut,Alabama,AL,CT,CT-AL,Northeast,South,0,1595.214602,41.767,-72.677,32.361538,-86.279118,206,-1263046,3556297,4819343,141,"4,679","$129,452 ",224,"$5,090 ",586859678.3,54293,259918,205625,0.29442868,0.56585725,0.27142857,0.55555556,0.57615894,0.22857143,0.31428571,0.12031806,0.51464529,0.08641975,0.18421052,-0.03389831,-0.33043477,6,0,65.293236,13.144804,52.148432,0.09304464,0.249993,-0.0384034,-0.27149132,2.606982953,0.401067435,3.859822223,3.11158845,2.282797126,1.741376376,2.677202265,-0.123686196,-1.577025097,-1.370212074,0.070219312,-0.524753631,33.5,12,1.2,-16.8,3.2,-0.3,0.161,0.667,0.099,0.045,0.002,0.041,0.655,0.267,0.013,0.005,94,-16,-36,4,-11,26,0,3,1,1,1,11,5,-34,0.7,0.13,0.17,0.05,0.33,0.01,0.03,0.01,0.01,0.01,0.23,0.14,0.43,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Delaware,Alabama,AL,DE,DE-AL,South,South,0,1229.899514,39.161921,-75.526755,32.361538,-86.279118,506,-3866894,952449,4819343,0,"2,054","$47,550 ",113,"$1,960 ",124703645.6,-134172,71453,205625,0.319163765,0.590592335,0.27142857,0.57142857,0.6097561,0.22857143,0.31428571,0.27199355,0.18757762,0.23809524,-0.14285715,-0.03389831,-0.33043477,0,0,41.490343,1.417263,40.07308,-0.02423077,0.12923948,-0.0384034,-0.27149132,1.433020974,0.320054065,2.649027921,2.468973487,1.072002824,1.098761413,1.503240286,-0.204699566,-1.577025097,-1.370212074,0.070219312,-0.524753631,16.7,5.2,-3.3,-5.2,2.7,-0.3,0.093,0.622,0.215,0.04,0.002,0.041,0.655,0.267,0.013,0.005,81,-17,-34,8,-6,15,-1,3,1,0,2,11,9,-25,0.69,0.15,0.21,0.1,0.22,0,0.03,0.01,0,0.02,0.23,0.18,0.52,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
District of Columbia,Alabama,AL,DC,DC-AL,South,South,0,NA,NA,NA,NA,NA,494,-4134533,684810,4819343,0,"2,118","$67,539 ",99,"$3,037 ",13774896.1,-79147,126478,205625,NA,NA,0.27142857,NA,NA,0.22857143,0.31428571,0.66723164,0.70080513,0.63333333,0.37037036,-0.03389831,-0.33043477,NA,NA,NA,NA,NA,NA,NA,-0.0384034,-0.27149132,NA,NA,NA,NA,NA,NA,NA,NA,-1.577025097,-1.370212074,0.070219312,-0.524753631,57.5,6.9,-29,18.6,2.7,-0.3,0.11,0.365,0.453,0.04,0.002,0.041,0.655,0.267,0.013,0.005,74,-21,-35,2,-4,12,0,4,2,2,1,12,7,-24,0.65,0.14,0.15,0.12,0.19,0.01,0.04,0.02,0.02,0.01,0.24,0.16,0.53,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Florida,Alabama,AL,FL,FL-AL,South,South,1,285.5241972,30.4518,-84.27277,32.361538,-86.279118,9389,15953028,20772371,4819343,2844,"194,280","$4,595,972 ","10,677","$211,924 ",11174990908,720424,926049,205625,0.06607143,0.3375,0.27142857,0.35,0.325,0.22857143,0.31428571,0.02935286,0.19468816,-0.00454545,-0.13574661,-0.03389831,-0.33043477,34,0,32.094208,4.961175,27.133033,0.01120835,-0.00016099,-0.0384034,-0.27149132,1.61652897,0.136967247,0.786697096,0.250203344,-0.790328001,-1.12000873,1.686748282,-0.387786384,-1.577025097,-1.370212074,0.070219312,-0.524753631,46.3,21.5,-11.7,-11.3,1.5,-0.3,0.256,0.538,0.154,0.028,0.002,0.041,0.655,0.267,0.013,0.005,63,-16,-25,1,-8,14,0,3,0,0,0,12,8,-23,0.7,0.24,0.14,0.08,0.21,0.01,0.03,0,0,0,0.24,0.17,0.54,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
Georgia,Alabama,AL,GA,GA-AL,South,South,1,235.1462864,33.76,-84.39,32.361538,-86.279118,15270,5480154,10299497,4819343,198,"257,664","$5,305,054 ","13,766","$231,757 ",16683899976,325677,531302,205625,0.04980159,0.32123016,0.27142857,0.30357143,0.33888889,0.22857143,0.31428571,0.03389831,0.04653648,0,-0.28389829,-0.03389831,-0.33043477,10,0,19.25826,-6.763636,12.494624,-0.10603976,-0.14654508,-0.0384034,-0.27149132,0.854786368,0.254078707,-0.319332677,-0.054587801,-1.896357774,-1.424799875,0.92500568,-0.270674924,-1.577025097,-1.370212074,0.070219312,-0.524753631,25.7,5.5,-12.9,4.4,2.6,-0.3,0.096,0.526,0.311,0.039,0.002,0.041,0.655,0.267,0.013,0.005,22,-7,-11,-1,1,2,0,1,0,0,0,6,4,-11,0.79,0.38,0.12,0.17,0.09,0.01,0.01,0,0,0,0.18,0.13,0.66,0.86,0.49,0.13,0.16,0.07,0.01,0,0,0,0,0.12,0.09,0.77
